,Club Names,Club Short Descriptions,Club Long Descriptions,Club Urls
234,Honors in Business Association,Honors in Business Association strives to create a sense of community for Honors students who share an interest in business.,Honors in Business Association is a student organization formed between the Honors Program and Business School. The organization strives to create a sense of community for students in both Honors and the School of Business or with an interest in business by connecting with other students across majors and class years. Students will take part in various social and pre-professional events as it relates to being a business student in the honors program. The program’s events will allow students to demonstrate and develop skills necessary to succeed in today’s business world all while building a strong alumni network. ,https://uconntact.uconn.edu/organization/hiba
235,Horace W. Porter School Plus Program,Horace Porter PLUS sends UConn tutors and to help students academically. Students are generally recommended by their teachers because they need extra help or lack the necessary support or resources at home to succeed to their fullest potential.,"Horace Porter School PLUS is a tutoring program that caters to fourth grade to eighth-grade students. These students are recommended by their teachers to receive holistic after school academic support by UConn students. The program runs Monday through Thursday starting at 2:50 pm and ending at 5:00 pm. We ask volunteers to choose one day a week for the entirety of the semester. Transportation is provided!
 
Horace W. Porter School is located in Columbia, CT.
 
To find the Spring 2019 Application, please click the link below.
Application Spring 2019",https://uconntact.uconn.edu/organization/cohpplus
236,Horticulture Club at UConn,"The Horticulture Club is an academic and social club that meets on a weekly basis to get involved in horticultural activities and events. Membership is free of dues and open to all who have an interest in horticulture, gardening, botany, floral art etc.","The Horticulture Club is an academic and social club that meets on a weekly basis to get involved in horticultural activities. Membership is free of dues and open to all who have an interest in horticulture, gardening, botany, and related subjects. In the spring we do a large display in the Hartford Flower Show. The Horticulture Club has a Garden Mum, Poinsettia and Geraniums sale throughout the year. We also host guest speakers, take field trips, propagate plants, and do other plant-related activities.  If you like plants in any way, we are the club for you.
Club Meetings: Wednesday, 7-8pm in the Floriculture Building",https://uconntact.uconn.edu/organization/horticultureclub
237,Housing Security Alternative Break,"This alternative break focuses on serving individuals who are experiencing homelessness. We, as a program, seek to understand the root causes of this social issue and how to become stronger advocates for those experiencing homelessness.",This is currently being evaluated as a potential Spring 2022 trip. Check back soon for more details.,https://uconntact.uconn.edu/organization/cobostonfall
238,Human Rights & Action House,"Launched in Fall 2015, the Human Rights and Action Learning Community (HRALC) has been a thriving hub of activism, academic achievement, and community service.","In partnership with Community Outreach and the Human Rights Institute, the HRALC engages participants through academic, experiential, and residential activities designed to enhance their understanding of social justice, diversity, and civic responsibility. Service experiences and immersion programs provide practical forums that foster a greater understanding of individual values, community issues, and the principles necessary for active citizenship.",https://uconntact.uconn.edu/organization/hrahouse
239,Human Rights Institute,"As a university wide program, the Institute advances human rights teaching across all University of Connecticut colleges and schools and pursues novel and critical approaches to human rights scholarship and pedagogy.","Uniquely organized around joint faculty appointments made in partnership with the departments of Anthropology, Economics, History, Philosophy, Political Science, Sociology, and the Schools of Law and Business, the University of Connecticut Human Rights Institute currently runs one of the largest undergraduate majors and minors in human rights, offers a Graduate Certificate in Human Rights, and sponsors three thematic research clusters centered on health and human rights, humanitarianism and economic and social rights.
As a university wide program, the Institute advances human rights teaching across all University of Connecticut colleges and schools and pursues novel and critical approaches to human rights scholarship and pedagogy. Our aim is to educate well-rounded scholars with an informed understanding of human rights, promote interdisciplinary scholarship and provide experiential learning for our students. The Institute encourages engaged discussion and academic research on the advantages and limitations of human rights discourse and practice. Our research programs demonstrate the Institute’s commitment to bridging disciplinary boundaries and providing a space for scholars and advocates to exchange knowledge and experience across areas of expertise.",https://uconntact.uconn.edu/organization/humanrightsinstitute
240,Hus-Keys A Cappella,"The Hus-Keys are an a cappella group that was founded at Hartford, but is based at the Storrs campus. Members are encouraged to develop their passion and musical talent by learning and performing a cappella arrangements of popular music as an ensemble.","The Hus-Keys are an a cappella group that was founded at Hartford, but is based at the Storrs campus. Members are encouraged to develop their passion and musical talent by learning and performing a cappella arrangements of popular music as an ensemble. As a group, we strive to embrace diversity. We accept students from all walks of life regardless of one's campus, race, gender, age, sexuality, or disability. Entry to Hus-Keys A Cappella is audition-based.",https://uconntact.uconn.edu/organization/hus-keys
241,Huskies for Charity - Stamford Campus,"Huskies for Charity is an organization that cares about the community. Many of our projects include volunteering, raising awareness, and fundraising. Follow us on Snapchat: huskies4charity","Huskies for Charity is an organization that cares about the community. Many of our projects include volunteering, raising awareness, and fundraising. Our mission is to make a difference in the lives of others and develop professional skills.
 
 ",https://uconntact.uconn.edu/organization/huskiesforcharity
242,Huskies for Israel,"Huskies for Israel strives to bring Israeli culture to campus by providing fun, educational opportunities in regards to Israeli history, current events, politics, and culture to the entire faculty, staff, and student populations at UConn","Huskies for Israel strives to bring Israeli culture to campus by providing fun, educational opportunities in regards to Israeli history, current events, politics, and culture to the entire faculty, staff, and student populations at the University of Connecticut.",https://uconntact.uconn.edu/organization/huskiesforisrael
243,Husky Bhangra,Husky Bhangra is UConn's premier dance team! We are a nationally competitive team that is always looking for new members to join. We actively work hard to compete and place at competitions around the world.,"Husky Bhangra is a competitive dance team at the University of Connecticut. We perform Bhangra, a form of dance, which originated in Punjab, India and encompasses energetic and lively moves and styles. People of all backgrounds are welcome, no dancing experience is necessary, all of our dancers learned the dance as they joined the team and competed. Energy and passion are all that are necessary. Husky Bhangra’s mission is to raise cultural awareness through activities around campus, while promoting the UConn name at competitions and other performances across the nation.",https://uconntact.uconn.edu/organization/huskybhangra
244,Husky Case Competition Club,"The Husky Case Competition Club was founded on the understanding that students need real world business experience. This Club focuses on competing in business related case competitions that better prepare students for classes, future Internships, & Jobs.","Our Founding Idea:  
*If interested in applying, click this link.
The Husky Case Competition Club was founded on the understanding that real world business situations provide headway in gaining skills and understanding that is beneficial in today’s workforce. Today at school, students are taught the orthodox way of learning that includes tests and textbooks. While beneficial, that way of learning does not translate directly to our prospective careers. To fill that void, the Club’s focus is in the area of competing in business related case competitions, which prepares students for future classes, jobs, and internships while also providing opportunities for networking at these events. We focus on diversification with our case competitions, allowing members to sign up for different types of competitions that lie under the topic of business. Our main goal is giving members and students at UConn the skills and instincts that will give them an edge in the real world.
 
What We Do:
As a member of the Club, students are required to meet on a weekly basis, where we discuss upcoming case competitions. The eBoard provides a member sign up for available case competitions. The Club highly encourages students to participate in case competitions that do not necessarily correlate with one’s major, to allow students to participate in real world situations and expose them to scenarios that may expand their career options. The next step is pairing students up with competitions. However, a student’s interest is not the only consideration when picking competition teams: the Club tries to elicits from members their strengths and weaknesses to structure groups in a way that optimally unitizes everyone’s capabilities. For example, Club member A is proficient in Python, Club member B knows the ins and outs of Excel, and Club member C understands how financial valuation works. By putting these three different individuals on the same team, a highly functioning team is born. Furthermore, the Club will encourage these students to expose and teach each other their respective skillsets. Although, a student cannot be expected teach his/her teammate proficiency in any given area,  that exposure can spark an interest in an unexpected area. Finally, the Club provides the opportunity, and will encourage, its members to practice leaders skills, which also includes being an avid listener. We emphasize the idea of trial and error, as it allows members to understand what works and what does not work, so when member has an interview or an important decision to make in the workplace, they have an already developed instinct to execute a solution.
We want every member to utilize their full potential at UCONN while accesses recourses and connections that might be hidden to others. While the focus of the Club is case competitions, we will also encourage members to share their skillset and providing others with information regarding university resources and connections. During weekly meetings, we will schedule student workshops, provide resources, and invite University representatives to present informative relevant information. For example, a member who is proficient in operating Excel might create a presentation/workshop regarding the usefulness of the software, while also guiding them to available UConn resources. Our Club will also provide career development workshops where members can obtain advice on topics like resumes, LinkedIn, networking, cover letters, and interviews. Underclassmen/women will have the opportunity to pair up with upperclassmen/women mentors with a similar major and discuss classes and professors and provide tips on how to succeed at UCONN. Every meeting will start with a brief review of business current events to keep our members in the know. At our club diversification is key as we want our members from different backgrounds and want to expose them to various skills, and different career paths.
           
For Future Members:
Our Club welcomes all business majors and other students with other majors who have a passion for business, teamwork, and sharpening skills that will translate fluently into the real world. Diversification is our main goal, and we want members to feel like the Club allowed them to unitize every available academic experience. The founding eight members, who have stellar academic achievements and are seeking and/or participating in sophisticated internships/jobs, wish to provide members with advice and opportunities to grow as a young professional. ",https://uconntact.uconn.edu/organization/huskycasecomp
245,Husky Developers,"In Husky Developers, we learn modern technologies through involved workshops, join STEM-based project teams working on projects with real-world applications.","In Husky Developers, we learn modern technologies through involved workshops, join STEM-based project teams working on projects with real-world applications.
See our members and projects: club website
Join our discord",https://uconntact.uconn.edu/organization/huskydevelopers
246,Husky Drive,Have you checked off the one-ton sundae from your UConn bucket list? How about cheering on the basketball team at Gampel? Did you know that giving back as a student is another item on the UConn bucket list. Student giving is a point of pride of the UConn,"Huskydrive is the student philanthropy program at UConn. We include programs such as Ignite, UConn's origional crowdfunding competition and senior class giving. We strive to educate the UConn community about the impact and the value of philanthropy. 
 
Donations from alumni, parents, friends, corporations, foundations, and your fellow students have had an impact on your campus experience by supporting:
Giving improves not just your student experience, but the experience of future students.
When high percentages of students and alumni give back, it affects UConn’s national rankings—and when UConn rises in the rankings, it makes UConn degrees all the more valuable.
Most importantly: Giving helps others.",https://uconntact.uconn.edu/organization/huskydrive
247,Husky Harvest Storrs Volunteers,This is a collaboration with UConn Dining Services to recruit volunteers for the Husky Harvest Campus Food Pantry at the Storrs Campus.,"Currently, the pantry will be opened Mondays and Thursdays from 11:00am to 4:00pm at the Charter Oaks Community Room and will be managed by UConn Dining Services. Community Outreach will support the recruitment of volunteers. If you are interest in volunteering please complete this form:
Interest Form for Husky Harvest at Storrs",https://uconntact.uconn.edu/organization/huskyharveststorrsvolunteers
248,Husky Haulers,The Husky Haulers (HH) program is a student volunteer welcome program for new residents and their friends and families on move-in days.,"Husky Haulers Program Information
Hello. Thank you for your interest in Husky Haulers. More information for Husky Haulers 2017  coming soon!",https://uconntact.uconn.edu/organization/huskyhaulers
249,Husky Horror Club,"A club for all those who love horror. Whether it be serious scares or playful frights, the club is dedicated to watching and talking about creepy media and enjoying the spooky side of life.",,https://uconntact.uconn.edu/organization/hhc
250,HuskyTHON,"HuskyTHON is a yearlong fundraising effort benefitting Connecticut Children's, our local Children's Miracle Network Hospital, culminating in an 18 hour Dance Marathon over the course of a weekend during spring semester to celebrate our efforts.","HuskyTHON is a yearlong fundraising effort benefitting Connecticut Children's, our local Children's Miracle Network Hospital, culminating in an 18 hour Dance Marathon over the course of a weekend during spring semester to celebrate our efforts. We raise funds and advocate for children with life-threatening illnesses. HuskyTHON 2023 raised 1,480,255.77 For The Kids! To register for HuskyTHON, please visit huskython.org. ",https://uconntact.uconn.edu/organization/huskython
251,"Ice Hockey Club, UConn Men's","Men's Club Ice Hockey is a collegiate hockey team with a commitment level similar to a varsity high school hockey team. Registered in the American Collegiate Hockey Association, the team plays schools from all over the northeast.",,https://uconntact.uconn.edu/organization/clubhockey
252,"Ice Hockey Club, UConn Women's","To give the women of the University community the opportunity to learn, practice and enjoy active, competitive participation in the game of ice hockey.","To give the women of the University community the opportunity to learn, practice and enjoy active, competitive participation in the game of ice hockey. UConn Women's Ice Hockey Club is a D2 ACHA hockey organization. We travel extensively throughout the season and work hard on and off the ice. ",https://uconntact.uconn.edu/organization/icehockeyclubwomens
253,"iGEM, UConn",We compete in the International Genetically Engineered Machine (iGEM) Competition and aim to expose students to the field of synthetic biology.,"The iGEM Competition is an international competition for undergraduate students interested in synthetic biology. Each year teams from all over the world compete in iGEM and get a chance to create an organism that can help society solve some of the problems it is facing today.
The mission of our organization is to compete in the iGEM competition and give undergraduate students exposure to the field of synthetic biology. Members of UConn iGEM take part in a unique, collaborators, and interdisciplinary research experience where they can contribute to the development and execution of the team's own creative project in synthetic biology that will not only further members' careers as scientists, but help address world problems as well. Our faculty advisors are Dr. Rachel O'Neill and Dr. Lisa Nigro from the Institute for Systems Genomics.
Critical thinking, creativity, and open-mindedness are skills required to be on the team. Since UConn iGEM conducts its student-driven research project over the summer, full-time summer internships are supported through the team when funding can be raised.
Furthermore, students who wish to participate in the lab research component must also take the UConn iGEM training sessions that are offered in the Spring. This lab training course instructs students on necessary wet lab techniques to allow them to contribute and participate in project development.
In addition to research, UConn iGEM also educates the public about Synthetic Biology and genetic engineering more broadly through community outreach events for UConn as well as the surrounding communities in Connecticut.
Meetings for Fall 2023 will be on Tuesdays from 7:00-8:00 PM in the Engineering Sciences Building's Lobby. ",https://uconntact.uconn.edu/organization/uconnget
254,In The Vein Ministries,In The Vein is a Christian organization focused on helping students build relationships with God. Our mission is to create a Jesus-centered safe space for all to draw closer to Him.,,https://uconntact.uconn.edu/organization/intheveinministries
255,Indian Students Association,A student run organization aimed at sharing knowledge of Indian culture through various events and participation in campus wide showcases. It is designed to bring together the Indian community on campus and welcomes all who are interested.,"The Indian Students Association is a student-run organization aimed at sharing knowledge of Indian culture through various events and participation in campus-wide showcases. It is designed to bring together the Indian community on campus and welcomes all who are interested.
 
 ",https://uconntact.uconn.edu/organization/indianstudentsassociation
256,Industry Pharmacists Organization,Industry Pharmacist's Organization works to bring awareness to the role of the industry pharmacists and dedicates their work to expose student pharmacists to the pharmaceutical industry. ,Industry Pharmacist's Organization works to bring awareness to the role of the industry pharmacists and dedicates their work to expose student pharmacists to the pharmaceutical industry. ,https://uconntact.uconn.edu/organization/ipho
257,Information Security Office,"The ISO Focus is: To protect You and the University’s systems, services and data against unauthorized use, disclosure, modification, damage and loss.",,https://uconntact.uconn.edu/organization/informationsecurity
258,Intercultural Greek Council,"The Intercultural Greek Council (IGC), established in 2002, is the governing council for all culturally-based and multicultural fraternities and sororities represented and recognized at the University of Connecticut.","The IGC unites its member organizations and through mutual respect and equality will accomplish the following goals:
- Advocate the needs and interests of all member organizations to advance and support their independent and mutual goals.

- Provide a forum for communication and collaboration to encourage cooperation and harmony amongst member organizations.

- Enforce campus expectations and the mutually high standards of its member organizations to ensure viable and valuable contributions to the University.

- Introduce initiatives that foster citizenship, friendship, leadership, scholarship, and the further personal development of individual members and the University community.
- Promote cultural awareness and positively represent the underrepresented student community.
 
The Intercultural Greek Council consists of the following organizations:
 
Lambda Theta Phi Latin Fraternity, Inc. (Lambda Chapter)
Lambda Theta Alpha Latin Sorority, Inc. (Kappa Chapter)
Lambda Phi Epsilon International Fraternity, Inc. (Associate Chapter)
Mu Sigma Upsilon Sorority, Inc. (Concordia Chapter)
La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc. (Beta Iota Chapter)
Latino America Unida, Lambda Alpha Upsilon Fraternity, Inc. (Xi Chapter)
Sigma Lambda Upsilon, Senoritas Latinas Unidas Sorority Inc. (Alpha Omicron Chapter)
Pi Delta Psi Fraternity, Inc. (Omega Chapter)
Kappa Phi Lambda Sorority, Inc. (Sigma Chapter)
Kappa Phi Gamma Sorority, Inc. (Upsilon Charter)
Delta Phi Lambda Sorority, Inc. (Rho Chapter)
Delta Phi Omega Sorority, Inc. (UConn Charter)",https://uconntact.uconn.edu/organization/igc
259,International Christian Fellowship,International Christian Fellowship with the help of Christian volunteers and local churches reaches out to both Christian & non-Christian international students with friendship programs and Bible study. Find out more about us at http://www.uconnicf.org,"If you want to know more about our organization, kindly contact us at uconn.icf@gmail.com :)
Please join and follow us:
Facebook Group
Instagram
ICF Website",https://uconntact.uconn.edu/organization/internationalchristianfellowship
260,International Model NATO Conference,"We work to participate in an international mock NATO conference in February of each year. Meetings consist of practice and preparation for the competition. The competition is held in Washington DC, and is attended by schools around the world.","Meetings are held once a week on Wednesdays from 5pm-6pm (not set in stone). 
Structure - 
In addition to the officers, there will also be 5 discipline chiefs in charge of creating presentations in order to make sure the ENTIRE team understands their subcatagory. The discipline chief positions are:
- DC of debate skills - teaching and developing debate, negotiations, and public speaking skills
- DC of historical context and reasoning - Make sure the entire team understands the history of our country and how to apply that history to debate and proposition
- DC of Rules - keeps the team's work on par with the official guidelines of the organizations
- DC of research - makes sure the team is using proper research techniques and keeping track of all sources of information
 
We're also looking for a Director of Outreach and Communication to put together internal contact lists and spread knowledge about the club
3 types of meetings - 
- DC led training - Occasionally a DC will lead a training for the team in their field
- Debate simulation - We come up with topic, assign countries and let people try and reason out solutions and practice diplomacy with each other
- Competition preparation - Cooperative preparation of arguments, potential solutions, and research for the competition",https://uconntact.uconn.edu/organization/modelnato
261,International Society for Pharmaceutical Engineering UConn Chapter,ISPE serves to connect students across disciplines with the many aspects of the Pharmaceutical and Life Sciences Industry.,"ISPE helps to provide educational, networking, and career development opportunities to students interested in the Pharmaceutical and Life Sciences industry at any level, such as engineering, research and development, marketing, accounting, etc. ",https://uconntact.uconn.edu/organization/ispeuconn
262,International Student & Scholar Services (ISSS),"ISSS provides essential services to UConn's international students as well as programs designed to introduce international students to the U.S. and share the language, culture and experiences of our international students with the UConn community.","ISSS provides essential services to UConn's international students as well as programs designed to introduce international students to the U.S. and share the language, culture and experiences of our international students with the UConn community.  ISSS is located and runs programs at the Storrs, Hartford, Stamford and School of Law campuses.",https://uconntact.uconn.edu/organization/isss
263,International Student Programming: Global Gateways,Global Gateway is an opportunity for international and domestic students to come together to build community. We promote dialogue and global understanding.,"Global Gateways strives to educate and integrate students 
of different backgrounds by providing them a platform on 
which they can connect and chat with new friends. We invite 
international and domestic students to communicate to 
sharpen their English skills while gaining a better understanding 
of one another.
 
Please use this link to join our emailing list: https://docs.google.com/forms/d/e/1FAIpQLSew9EIo2tn8xNN74Z6Db3ke2yqK_PW9ugQFvFVYRThMMmkMSw/viewform",https://uconntact.uconn.edu/organization/globalgateways
264,Intervarsity Graduate Christian Fellowship,"IV Grad Christian Fellowship is an interdenominational, on-campus Christian fellowship for UConn graduate students. All are welcome!","Graduate Christian Fellowship (GCF) is an interdenominational, on-campus Christian fellowship for UConn graduate students.  All are welcome! We meet weekly during the school year for prayer, Bible study, and fellowship, and host regular off-campus social events so we can build friendships outside of the library and labs. We support each other throughout the year in prayer and encouragement, listen to great guest speakers who think out loud with us about faith and academia, and occasionally do service projects together. Please find out more by joining our facebook page: https://www.facebook.com/groups/493770140685582/. Or contact us at uconn.gcf@gmail.com.",https://uconntact.uconn.edu/organization/ivgrad
265,Involvement Ambassadors,Your points of contact to the Department of Student Activities!,"Hi!
We are the Student Involvement Ambassadors, who are current UConn students that work in the Student Activities Involvement Office. We are the liasion between the Involvement Office and student organizations on campus. We work with the University Staff to support and assist student organizations on campus.
In addition, we lead SOLID workshops; but, most importantly, we provide a unique resource for students to engage in support of their mission. If you ever have any questions, e-mail us at SOLID@uconn.edu or come by our office located in Student Union 302!
 ",https://uconntact.uconn.edu/organization/involvementambassadors
266,Japanese Language Club,"Where students can study the Japanese language through various resources and activities. Focusing on content from levels N5-N2 of the JLPT, we practice essential skills such as reading, writing, speaking, and listening. https://discord.gg/NkDy3sPX5d",,https://uconntact.uconn.edu/organization/nihongobu
267,Japanese Student Association,The Japanese Student Association is the best place to experience Japanese culture and activities at UConn!,"The Japanese Student Association is open to all UConn students and faculty interested in enjoying and spreading awareness of Japanese culture. All events held by this association are related to past and modern culture, such as popular Japanese activities and cooking authentic food.
 
You do not need to be Japanese or Asian American to join! 
 
Join our email list and follow us on social media for updates on meetings and events ⇨ Click Here!",https://uconntact.uconn.edu/organization/japanesestudentassociation
268,Jewish Law Students' Association,"To promote Jewish religious, cultural, national, and social identity at the law school.","JLSA's purpose is to promote Jewish religious, cultural, national and social identity and the law school and in our broader community. JLSA will also act as a resource for Jewish life and represent the interests of Jewish students to the law school's administration. ",https://uconntact.uconn.edu/organization/jlsa
269,Joint Statistical Club,"The Joint Statistical Club is a group for undergraduate and graduate students at UConn interested in the fields of statistics and data science. Our focus is on community outreach, skill-building workshops, and providing opportunities and resources.","UConn Joint Statistical Club, affiliated with the American Statistical Association (ASA) and the New England Statistical Society (NESS), is a joint group for both undergraduate and graduate level students interested in engaging with the field of statistics. We host skill-building workshops on technical skills, panels with information about research and internship opportunities, and social events for undergraduates and graduates to interact and ask questions. 
Our meetings will be biweekly. Join our email list through UConntact, and join our discord here:https://discord.gg/FuzB57AT
 
 ",https://uconntact.uconn.edu/organization/jointstatisticalclub
270,Jonathan's Challenge,JC's purpose is to increase community engagement at UConn. Our goal is to maximize participation in university programs for the duration of the challenge by incentivising community members with prizes in exchange for their ongoing participation.,"The purpose of Jonathan's Challenge is to increase community engagement at UConn. Our goal is to maximize participation in designated university programs for the duration of the challenge by incentivising community members (most likely students) with prizes in exchange for their ongoing attendance/participation.
Jonathan's Challenge is back for the Fall 2021 semester! We are currently seeking university programs that have events open to everyone between the dates of September 13 and November 19 who would like to join the challenge. We're also seeking students and other community members to register for JC and start winning prizes!",https://uconntact.uconn.edu/organization/jonathanschallenge
271,Jumpstart,"Did you know that in low income neighborhoods, children start Kindergarten 60% behind their peers from affluent communities? Jumpstart is working toward the day every child in America enters school prepared to succeed.","Applications are open for the 2022-23 Academic Year! Apply today: www.jstart.org/apply
Jumpstart is a national early education organization working toward the day every child in America enters kindergarten prepared to succeed. We provide language, literacy, and social-emotional programming for preschool children from under-resourced communities and promote quality early learning for all children. Since 1993, the national Jumpstart network has trained 45,000 college students and community volunteers to transform the lives of nearly 100,000 preschool children across the country. For more information, visit the Jumpstart Web site at www.jstart.org.
The Jumpstart UConn program recruits a Corps of 80 college students serving over 175 preschool children. We are always searching for motivated and dedicated students to contribute to our program and its leadership. 
Volunteers serve in the classrooms twice a week in 4 hour time blocks:
Mon/Wed: 8:30am – 12:30pm, 2:30pm – 6:30pm
Tues/Thurs: 8:30am – 12:30pm, 2:30pm – 6:30pm
In addition, they can go in for classroom assistance time which is catered to your schedule. Jumpstart also hosts monthly professional development meetings. Upon completion of the 300-hour commitment, volunteers receive an education award through AmeriCorps. Students can also use work-study awards for this position. 
Apply to become a Corps Member here: https://www.jstart.org/apply
If you have any questions please email Emily at emily.burnett@jstart.org",https://uconntact.uconn.edu/organization/cojumpstart
272,Juniper Hill Program,"The program takes place at the Juniper Hill Village (Storrs, CT.) and volunteers will interact with its residents by doing a number of weekly activities.","The program takes place at the Juniper Hill Village (Storrs, CT.) and volunteers will interact with its residents by doing a number of weekly activities.  The residents of Juniper Hill have a head or co-head of household who is aged 62 years or older or a head or co-head with a disability and needing the features of an accessible unit. Time commitment is about 2 hours per day. However, volunteers can participate once a week or multiple times. Program times TBD.",https://uconntact.uconn.edu/organization/juniperhillprogram
273,"Kappa Phi Lambda Sorority, Inc.","Sigma Chapter | Sisterhood, Service, and Cultural Diversity","Kappa Phi Lambda (ΚΦΛ) is a cultural and service-based Asian American-interest sorority. Though we are Asian-interest, we are NOT Asian-exclusive. We have locations on 33 campuses in the Northeast, Midwest, Mid-Atlantic, and Southern regions of the United States. As one of the fastest growing Asian-interest sororities, we have more than 4,000+ sisters nationwide!
The Sigma Chapter at UConn was founded on April 10, 2004. We are now 150+ sisters strong and growing.
 
_______________________________________________________________________________
Honors & Awards
2022:
Kappa Phi Lambda National Board
+ 2022 Chapter of the Year
 
2016:
Aretê Awards:
+ 2016 Chapter of the Year
+ Excellence in Community Impact
+ Excellence in Diversity & Inclusion
+ Outstanding Greek Scholar (Christina Jiang *Synthesis*)
+ Outstanding Chapter President (Sarah McManus *Trill*)
+ Outstanding Alumna (Teri Chung *Glee*)
Kappa Phi Lambda National Board
+Most Money raised for Philanthropy
Pan-Asian Council
+Most Visible Organization on Campus Award

2015:
Lambda Theta Alpha Latin Sorority, Inc. 8th Annual Greek Showcase:
+ Most Creative Performance

2014:
Arête Awards
+Outstanding Membership Development Program (Sorority)
+Outstanding Chapter Management (Sorority)
Kappa Phi Lambda National Board:
+ Orchid Cultural Award",https://uconntact.uconn.edu/organization/kappaphilambda
274,"Karate Club, UConn","Founded in 1972, the UConn Karate Club is devoted to the teachings and encouragement of the art of Karate. The UConn Karate Club is a member of the Japan Karate Association (JKA), the largest and most prestigious karate organization in the world.","Learn to defend yourself. Enhance your strength, coordination, stamina, balance and flexibility. Increase your self-awareness and confidence.  -Become a part of the UConn Karate Club Family.
Is the UConn Karate Club for me?
Do I need any Experience?
Will I have fun?
While we do take Karate seriously and are notorious for our full-body workouts, we do take a moment on occasion to have fun through a variety of activities for all UConn Karate Club members:
Meeting Times:
Helpful Links:",https://uconntact.uconn.edu/organization/karateclub
275,KCONN,"KCONN is a K-Pop dance group. Open to everyone, we learn and cover the latest dances in K-Pop.","KCONN is a K-Pop dance group. Together, we learn and cover the latest dances in K-Pop, and perform around campus. No auditions or dance experience required.",https://uconntact.uconn.edu/organization/kconn
276,"Kendo Club, UConn","Kendo means ""The way of the sword"". Kendo is a martial art that trains a mature spirit, inner strength, and a calm soul. Combine this with developing strength and speed through the body and sword and you get Kendo.","The UConn Kendo Club is a martial arts club at the University of Connecticut, Storrs Campus. Through the use of a bamboo sword (shinai), practicioners learn the necessary skills to attack and defend through the discipline that makes up the mentally and physically challenging sport we call Kendo.
We have one weekly practice that last for 2 hours on Sunday, 9am-11am, at the Hawley Armory Gym. The club allows for a greater opportunity for both new AND returning members to learn the fundamental skills to practice Kendo. Our sensei (instructor/master) is a highly trained practictioner of many years who is eager to teach and guide those wanting to learn Kendo, ""The Way of the Sword"".
Beginners are welcome to join in our practices! Although many returning members have become very experienced, we all help teach the newer members. Practices are a lot of fun and we have a great time every time.
You are also welcome to join our Discord server for immediate discussions as well as annoucements.  https://discord.gg/2aqjwQEcpV
 
 


",https://uconntact.uconn.edu/organization/uconnkendoclub
277,"Kickline Team, UConn","The UConn Kickline Team is a dance team and club sport organization that incorporates styles of jazz, pom, and sequences of high-kicks. The team can be seen as being similar to the Radio City Rockettes.","The Uconn Kickline Team is a dance team and Club Sport organization that incorporates styles of jazz, pom, and sequences of high-kicks. The team can be seen as similar to the Radio City Rockettes. Throughout the year, the team performs at basketball games, hockey games, and other on campus events.  The team also competes regionally. The team organizes fundraisers and participates in various community service events each semester. Recently, we were named the NorthEast Champs in the High Kick division.",https://uconntact.uconn.edu/organization/kicklineteamuconn
278,Kidney Disease Screening and Awareness Program,This program provides free kidney health screenings to people in local communities who may not have easy access to health care. The goal is to raise awareness about chronic kidney disease.,"According to the National Kidney Foundation, 1 in 3 American adults is currently at risk for developing chronic kidney disease. What's worse is that 1 in 9 American adults already have kidney disease and don't know it yet. KDSAP aims to raise awareness about chronic kidney disease and help prevent its onset by providing free kidney screenings to underserved communities. There are multiple components to this program, including community health screenings, community health education events, and opportunities to participate in colloquia on and off campus. 
 
For more information, visit our website at https://www.uconnkdsap.org
 
KDSAP was founded in 2008 by students at Harvard University under the direction of Dr. Li-Li Hsiao. There are currently 19 chapters of KDSAP in the United States and Canada.",https://uconntact.uconn.edu/organization/kdsap
279,Kids & UConn Bridging Education,"KUBE is a one-on-one mentoring program with middle school students from Killingly and Windham, Connecticut.","The aim of the program is to create a multicultural mentoring program that builds literacy, educational aspirations, and social skills development",https://uconntact.uconn.edu/organization/kube
280,Knit for NICU,The purpose of Knit for NICU is to create and donate knitted items for a local NICU.,"Do you have a passion for knitting and maternal/infant health? Are you interested in learning to knit? Do you want to make a meaningful difference in your community? Then consider joining Knit for NICU!
We will have meetings every other week. Meetings will consist of casual, fun knitting sessions which include beginner lessons. Once we have created enough knitted goods we will take a trip to a local NICU (Neonatal Intensive Care Unit) to personally donate the items. We also fundraise for the Loveland Foundation, an organization that provides free therapy to women of color, with particular focus on Black women! 
We hope to see you at our next meeting!",https://uconntact.uconn.edu/organization/knit-for-nicu
281,Korean Student Association,KSA was created at UConn in efforts to promote the Korean culture and its traditions.,"KSA was created at UConn in efforts to promote to the whole campus about the the Korean culture and its traditions. Through this organization, we hope to unite the Korean community to come as one and create stronger bonds with each other. We will have events and fundraisers to complement our goals of spreading & enjoying the Korean Culture!",https://uconntact.uconn.edu/organization/koreanstudentassociation
282,Kpop Fusion Club - Waterbury Campus,Kpop Fusion is a Korean pop (K-pop) club. We encourage all students to participate and join. We will discuss Korean pop music and culture. Our effort is to provide a meeting space for all UCONN students to enjoy Korean Pop culture.,,https://uconntact.uconn.edu/organization/kpop-fusion
